사용월,호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,작업일자
202412,2호선,홍대입구,1049,42,27732,3512,30605,18580,58753,41522,77554,109714,62850,135123,61991,120305,72275,148895,84613,178785,99156,196935,116999,189502,143742,194108,177608,204803,205159,229487,226142,258945,191728,189474,193838,118438,224831,95564,214804,80155,105392,54011,14434,19886,174,2714,0,31,0,0,20250103
202412,경의선,홍대입구,9,1,345,162,786,627,1358,1703,1705,7249,1292,6352,1478,4814,1756,4996,2362,6433,2769,6187,3562,6448,4223,6183,5233,7269,7034,7041,7636,7360,5999,5331,5949,2992,6624,2424,6627,2302,2863,1422,60,263,2,1,0,0,0,0,20250103
202412,공항철도 1호선,홍대입구,274,12,5552,526,6289,4281,10839,10756,14067,27158,13245,30060,14858,25569,17476,31260,19839,38234,21875,38478,25846,34425,32044,34763,39831,36215,46262,39684,50525,44776,40763,29966,38916,17090,44255,14479,38324,13446,17286,9677,1639,3218,0,0,0,0,0,0,20250103
202501,2호선,홍대입구,1187,44,27278,3365,28879,16040,52611,35050,68279,95637,54231,115431,51389,102070,60353,128308,71259,157888,83606,175675,96681,167965,120025,169202,146693,173289,173934,190248,198927,216251,169372,157097,167362,98313,193474,76885,185240,61969,92115,42987,10465,15832,79,1858,0,3,0,0,20250203
202501,경의선,홍대입구,14,0,343,178,678,458,1062,1429,1419,6215,1184,5241,1242,4157,1353,4311,2022,5976,2598,5759,3118,5780,3865,5563,4902,5801,6313,5778,6978,6365,5306,4015,5174,2693,5845,1929,5841,1663,2501,1104,59,207,4,1,0,0,0,0,20250203
202501,공항철도 1호선,홍대입구,276,12,5084,454,5446,3744,9189,9223,12117,22697,11146,26050,12297,21848,14346,27803,16687,35211,18925,35474,22853,31027,28217,30530,34360,31672,40555,33294,45309,37277,36546,24826,34969,14212,38364,11832,32893,10336,14988,7947,1309,2562,15,48,0,6,0,0,20250203
202502,2호선,홍대입구,780,43,21793,3021,26218,15265,55257,34684,72567,102515,54268,121110,49386,106066,58079,132987,68742,159902,82220,176839,93951,167647,116876,165870,147443,169428,176237,187663,209053,218033,178892,156323,173840,93232,194641,71977,180530,58259,88452,40542,11036,14432,7,1767,0,0,0,0,20250303
202502,경의선,홍대입구,2,0,329,157,662,483,1080,1610,1393,6181,1147,5238,1124,4326,1329,4724,1834,6326,2453,5775,3065,5661,3816,5543,4877,5852,6841,5853,7441,6580,5769,4006,5186,2475,5793,1890,5551,1540,2501,1067,39,132,0,0,0,0,0,0,20250303
202502,공항철도 1호선,홍대입구,213,4,4137,383,4987,3583,9261,9317,12435,24283,10769,27584,11467,23407,13402,29224,16065,35911,18923,35557,22805,31140,27816,30065,35341,30656,42435,32762,47846,37810,39095,25387,36294,13940,39297,11114,31287,9611,14306,7510,1107,2485,0,0,0,0,0,0,20250303
202503,2호선,홍대입구,1105,36,25907,3615,30471,16915,60909,42071,81015,116285,65601,157456,62582,126437,70495,146916,83799,169805,99226,186587,111964,178112,136805,179354,170161,192865,197766,218041,222994,256630,191955,185198,191456,115058,215743,94201,205245,73210,103812,50061,12518,19454,5,1854,0,0,0,0,20250403
202503,경의선,홍대입구,7,0,398,203,791,558,1270,1845,1796,6754,1451,6552,1506,4721,1589,4724,2135,5671,2783,5559,3480,5889,4215,5859,5336,5855,7215,6393,7894,7391,6103,4445,5878,3019,6573,2285,6263,1918,2867,1504,56,199,0,0,0,0,0,0,20250403
202503,공항철도 1호선,홍대입구,228,9,5295,465,6358,4192,11316,10984,14678,26551,14359,31159,14977,26104,16669,30077,18782,36387,21673,35789,25375,31874,30920,32654,37602,33705,45314,37414,49505,42632,40886,28983,39220,17318,42481,14058,36214,12213,16850,9771,1352,3848,2,3,0,0,0,0,20250403
202504,2호선,홍대입구,980,28,23560,3554,30602,18358,64889,46022,86349,122730,69601,158969,65483,119983,70903,132277,82483,145954,95644,162784,104183,150731,126239,154972,155582,167078,183089,196973,207420,243302,174150,179510,170458,115118,195121,94459,186490,75180,93582,51001,13203,19671,6,2118,0,0,0,0,20250503
202504,경의선,홍대입구,1,1,383,198,786,537,1251,2088,1989,7448,1609,6975,1399,4544,1566,4114,2137,5214,2641,4662,3477,4914,4481,4616,5106,5476,6684,5619,7307,7157,5675,4299,5416,2886,6114,2242,5793,1946,2602,1657,33,217,0,0,0,0,0,0,20250503
202504,공항철도 1호선,홍대입구,236,10,5330,519,6881,4654,12021,11522,15537,28266,14414,32461,15160,25016,16486,26898,18358,31509,20573,31711,22611,27744,28027,27567,34192,30129,40487,33736,45525,41649,37496,28244,35008,16881,39066,13936,33027,12341,15391,9893,1387,3150,0,0,0,0,0,0,20250503
202505,2호선,홍대입구,1148,32,29933,3515,31942,18758,60033,42726,79459,110293,66100,154977,64290,129889,72973,153820,85710,176253,101365,194618,114424,185794,140795,186115,174517,193407,201530,221181,219103,248832,191402,179127,194290,120147,218162,99818,208083,81948,107786,57943,13496,20937,8,2201,0,0,0,0,20250603
202505,경의선,홍대입구,6,0,446,158,763,609,1219,1944,1857,6708,1559,6549,1445,4998,1653,4773,2368,6308,2882,6011,3737,6483,4265,6167,5412,6469,7520,6655,8017,7270,6529,4847,6385,3291,6674,2571,6858,2365,3098,1461,63,249,0,1,0,0,0,0,20250603
202505,공항철도 1호선,홍대입구,258,8,6070,522,6629,4507,10980,10937,14382,26406,14120,32213,14862,28205,16893,31932,19800,37478,22581,37947,25877,33931,31813,33847,39528,34931,46081,37425,50076,41907,42586,28414,41042,17287,44317,14856,37385,13228,17328,10882,1480,3641,1,0,0,0,0,0,20250603
202506,2호선,홍대입구,916,32,27785,3399,30856,17700,57978,41314,76969,107002,63164,136394,61931,117820,70349,140878,81815,160827,96789,174446,107483,167099,129367,165308,154270,174295,178765,194927,200489,223265,170573,163364,175400,110630,197491,92293,184321,73717,94089,51748,11114,18505,3,1975,0,0,0,0,20250703
